PlayerName,Position,Age,MarketValue,Matches,Goals,OwnGoals,Assists,Yellow,2ndYellow,Red,SubsOn,SubsOff,NationalTeam,Height
Simon Adingra,Right Winger,22,30,50,9,0,6,4,0,0,13,20,Ivory Coast,175
Éderson,Central Midfield,24,30,52,7,0,1,10,0,0,6,13,Brazil,183
Enzo Millot,Attacking Midfield,21,30,36,6,0,11,5,0,0,6,22,France U23,174
Yéremy Pino,Right Winger,21,30,10,0,0,0,5,0,0,2,7,Spain,172
Malick Thiaw,Centre-Back,22,30,31,0,1,1,6,0,1,6,5,Germany,194
Folarin Balogun,Centre-Forward,22,30,40,10,0,9,2,0,0,11,20,USA,178
Ian Maatsen,Left-Back,22,30,41,3,0,3,11,0,0,14,10,Netherlands,178
Kiernan Dewsbury-Hall,Central Midfield,25,30,49,12,0,15,6,0,0,6,12,Not Called,178
Benoît Badiashile,Centre-Back,23,30,22,1,1,1,1,0,0,3,4,France,194
João Félix,Left Winger,24,30,45,10,0,6,5,0,0,20,21,Portugal,181
Morten Hjulmand,Defensive Midfield,24,30,51,4,0,4,15,0,0,7,25,Denmark,185
Orkun Kökçü,Central Midfield,23,30,46,7,0,11,13,0,0,11,27,Türkiye,175
Charles De Ketelaere,Attacking Midfield,23,30,49,14,1,10,1,0,0,14,32,Belgium,192
Pedro Gonçalves,Attacking Midfield,25,30,49,18,0,17,6,0,0,4,30,Portugal,173
Jakub Kiwior,Left-Back,24,30,32,1,1,3,2,0,0,12,7,Poland,189
Ademola Lookman,Second Striker,26,30,57,20,0,10,6,0,0,17,31,Nigeria,174
Davide Frattesi,Central Midfield,24,30,44,8,0,7,3,0,0,32,6,Italy,178
Nico Schlotterbeck,Centre-Back,24,30,48,2,1,5,9,0,0,3,5,Germany,191
Alessandro Buongiorno,Centre-Back,24,30,32,3,0,1,7,0,0,0,3,Italy,190
Ibrahim Sangaré,Defensive Midfield,26,30,34,3,0,1,7,0,0,6,14,Ivory Coast,191
Frank Anguissa,Central Midfield,28,30,48,1,0,3,4,0,0,2,9,Cameroon,184
Fabián Ruiz,Central Midfield,28,30,36,3,0,7,5,0,0,9,13,Spain,189
Pervis Estupiñán,Left-Back,26,30,28,3,1,4,7,0,0,6,8,Ecuador,175
Artem Dovbyk,Centre-Forward,26,30,43,26,0,10,2,0,0,8,23,Ukraine,189
Noussair Mazraoui,Right-Back,26,30,33,0,0,4,5,0,0,5,12,Morocco,183
Joe Willock,Central Midfield,24,30,14,2,0,0,1,0,0,5,9,England U21,186
Eddie Nketiah,Centre-Forward,24,30,38,6,0,3,4,0,0,25,9,England,175
Malcom,Right Winger,27,30,49,23,0,13,5,0,0,1,22,Brazil,171
Tomas Soucek,Defensive Midfield,29,30,55,10,0,5,10,0,0,6,9,Czechia,192
Marcos Llorente,Central Midfield,29,30,52,6,0,6,6,0,0,14,16,Spain,184
Aleksandr Golovin,Attacking Midfield,27,30,30,7,0,7,9,0,1,0,12,Russia,178
Rodrigo de Paul,Central Midfield,30,30,50,4,0,7,9,1,0,11,28,Argentina,180
Andrew Robertson,Left-Back,30,30,33,3,0,3,2,0,0,7,8,Scotland,178
Otávio,Attacking Midfield,29,30,46,11,0,8,7,0,0,2,23,Portugal,172
José Gayà,Left-Back,29,30,27,2,0,3,3,0,0,5,9,Spain,172
Jonathan Tah,Centre-Back,28,30,55,6,0,1,10,0,0,3,5,Germany,195
John McGinn,Central Midfield,29,30,57,9,0,7,12,0,1,4,20,Scotland,178
Stanislav Lobotka,Defensive Midfield,29,30,51,0,0,1,4,0,0,2,17,Slovakia,168
João Cancelo,Right-Back,30,30,43,4,0,5,9,0,0,4,12,Portugal,182
James Ward-Prowse,Central Midfield,29,30,52,7,0,12,5,0,0,6,9,England,177
Leon Goretzka,Central Midfield,29,30,46,6,0,11,5,0,0,10,11,Germany,189
Virgil van Dijk,Centre-Back,32,30,50,4,0,2,4,0,1,3,2,Netherlands,195
Jan Oblak,Goalkeeper,31,30,56,0,1,0,1,0,0,0,1,Slovenia,188
Thibaut Courtois,Goalkeeper,32,30,4,0,0,0,0,0,0,0,1,Belgium,200
Romelu Lukaku,Centre-Forward,31,30,48,21,0,5,5,0,1,2,14,Belgium,191
Marc-André Ter Stegen,Goalkeeper,32,30,42,0,0,0,3,0,0,0,0,Germany,187
Mateo Kovacic,Central Midfield,30,30,48,3,0,1,5,0,0,17,16,Croatia,177
Lionel Messi,Right Winger,36,30,13,12,0,11,0,0,0,1,1,Argentina,170
Hugo Larsson,Central Midfield,19,28,40,2,0,2,1,0,0,12,9,Sweden,187
Danilo,Central Midfield,23,28,34,3,0,2,5,0,0,9,14,Brazil,177
Jamie Bynoe-Gittens,Left Winger,19,28,40,3,0,9,2,0,0,19,19,England U21,177
Aaron Hickey,Right-Back,21,28,12,0,0,0,5,0,0,1,9,Scotland,185
Youssouf Fofana,Central Midfield,25,28,39,5,1,4,3,0,0,4,7,France,185
Noni Madueke,Right Winger,22,28,41,14,0,7,2,0,0,15,20,England U21,182
Karim Adeyemi,Left Winger,22,28,34,5,0,3,5,1,0,15,14,Germany U21,180
Matty Cash,Right-Back,26,28,47,5,1,3,11,0,0,13,11,Poland,185
Amine Gouiri,Left Winger,24,28,46,12,0,3,4,0,0,11,26,Algeria,181
Giacomo Raspadori,Second Striker,24,28,49,6,0,3,1,0,0,31,13,Italy,172
Vitaliy Mykolenko,Left-Back,24,28,36,2,1,0,0,0,0,0,5,Ukraine,180
Yoane Wissa,Left Winger,27,28,48,15,0,4,8,0,0,7,29,DR Congo,176
Ermedin Demirovic,Centre-Forward,26,28,35,15,0,9,7,0,0,0,11,Bosnia,185
Mathias Jensen,Central Midfield,28,28,38,4,0,3,5,0,0,8,25,Denmark,180
Ben Chilwell,Left-Back,27,28,23,0,0,1,6,0,0,8,9,England,180
Taiwo Awoniyi,Centre-Forward,26,28,24,6,0,3,2,0,0,10,12,Nigeria,183
Viktor Tsygankov,Right Winger,26,28,35,9,0,7,0,0,0,5,26,Ukraine,178
Joe Gomez,Centre-Back,27,28,53,0,0,3,8,0,0,22,9,England,188
Xaver Schlager,Central Midfield,26,28,44,2,0,8,10,0,0,4,12,Austria,174
Konrad Laimer,Central Midfield,27,28,47,1,0,5,5,0,0,15,13,Austria,180
Emiliano Martínez,Goalkeeper,31,28,48,0,2,0,6,0,0,0,2,Argentina,195
Aleksandar Mitrovic,Centre-Forward,29,28,46,39,0,8,7,0,0,7,19,Serbia,189
Thiago Almada,Attacking Midfield,23,27,26,11,0,3,4,0,0,3,4,Argentina U23,171
Mats Wieffer,Defensive Midfield,24,27,44,6,0,4,6,0,0,2,4,Netherlands,188
Denzel Dumfries,Right Midfield,28,27,38,4,0,6,3,0,1,14,17,Netherlands,188
Olivier Boscagli,Centre-Back,26,27,47,3,1,4,5,0,0,1,12,France U21,181
Pau Cubarsí,Centre-Back,17,25,37,0,0,1,9,0,0,8,5,Spain,184
Oscar Gloukh,Attacking Midfield,20,25,41,9,0,18,5,0,0,6,25,Israel,170
Karim Konaté,Centre-Forward,20,25,47,24,0,12,7,0,0,18,21,Ivory Coast,178
André,Defensive Midfield,22,25,18,0,0,0,4,0,1,3,1,Brazil,176
Aleksandar Pavlovic,Defensive Midfield,20,25,27,2,0,2,9,0,0,7,10,Germany,188
Pablo Barrios,Central Midfield,20,25,41,1,0,2,5,0,0,15,16,Spain U21,181
Alan Varela,Defensive Midfield,22,25,46,2,0,3,9,0,0,3,19,Argentina U23,177
Igor Thiago,Centre-Forward,22,25,55,29,0,6,12,1,0,7,23,Not Called,191
Tyrick Mitchell,Left-Back,24,25,41,2,1,3,6,0,0,0,7,England,175
Lesley Ugochukwu,Defensive Midfield,20,25,21,0,0,0,5,0,0,9,4,France U21,190
Samuel Lino,Left Winger,24,25,46,8,0,8,3,0,0,10,27,Not Called,170
Matías Soulé,Right Winger,21,25,41,12,1,3,5,0,0,4,20,Argentina U23,182
Marcos Leonardo,Centre-Forward,21,25,22,7,0,1,1,0,0,18,4,Brazil U23,177
Oscar Bobb,Right Winger,20,25,31,5,0,5,1,0,0,19,6,Norway,175
Bilal El Khannouss,Attacking Midfield,20,25,58,3,0,8,10,0,0,12,24,Morocco,180
Manu Koné,Central Midfield,23,25,27,2,0,2,4,0,1,6,11,France U23,185
Georgiy Sudakov,Attacking Midfield,21,25,36,10,0,8,7,0,0,3,8,Ukraine,177
Rayan Cherki,Attacking Midfield,20,25,47,8,0,13,0,0,0,18,23,France U23,177
Antony,Right Winger,24,25,38,3,0,2,6,0,0,17,16,Brazil,172
Pierre Kalulu,Centre-Back,23,25,11,0,0,0,1,0,0,6,2,France U21,182
Strahinja Pavlovic,Centre-Back,23,25,39,4,0,3,12,0,1,0,2,Serbia,194
Radu Drăgușin,Centre-Back,22,25,33,2,0,1,2,0,0,6,2,Romania,191
Álex Baena,Attacking Midfield,22,25,46,5,0,18,15,0,1,7,25,Spain,174
Mohamed Camara,Defensive Midfield,24,25,25,1,0,3,4,0,0,7,14,Mali,173
Terem Moffi,Centre-Forward,25,25,38,12,0,2,4,0,0,12,20,Nigeria,188
Anatoliy Trubin,Goalkeeper,22,25,48,0,0,0,2,0,0,0,0,Ukraine,199
Amine Adli,Left Winger,24,25,50,10,0,14,7,0,0,23,17,Morocco,174
Roger Ibañez,Centre-Back,25,25,32,3,1,1,11,2,0,0,1,Brazil,185
Dani Vivian,Centre-Back,24,25,41,0,0,1,8,0,0,3,3,Spain,184
Pepê,Left Winger,27,25,50,8,0,10,7,0,0,3,15,Brazil,175
Jesper Lindstrøm,Attacking Midfield,24,25,32,0,0,1,2,0,0,27,5,Denmark,182
Riccardo Calafiori,Centre-Back,22,25,42,2,1,7,6,1,0,7,7,Italy,188
Wesley Fofana,Centre-Back,23,25,0,0,0,0,0,0,0,0,0,France,186
Facundo Medina,Centre-Back,25,25,39,1,0,4,15,0,0,1,2,Argentina,184
Brian Brobbey,Centre-Forward,22,25,43,22,0,12,7,0,0,2,22,Netherlands,182
David Neres,Right Winger,27,25,35,5,0,10,2,0,0,14,18,Brazil,176
Nathan Collins,Centre-Back,23,25,37,2,0,1,3,0,0,3,1,Ireland,193
Youssoufa Moukoko,Centre-Forward,19,25,33,12,0,0,1,0,0,21,7,Germany U21,179
Ansu Fati,Left Winger,21,25,30,4,0,1,3,0,0,21,8,Spain,178
Mattéo Guendouzi,Central Midfield,25,25,51,3,0,4,6,0,1,15,11,France,185
Rodrigo Riquelme,Left Winger,24,25,47,4,0,6,1,0,0,27,15,Spain,174
Andrea Cambiaso,Left-Back,24,25,41,3,0,7,11,0,0,8,29,Italy,182
Galeno,Left Winger,26,25,49,16,1,13,6,0,0,9,19,Brazil,179
Martin Terrier,Left Winger,27,25,36,9,0,4,2,0,1,8,19,France U21,184
Aaron Ramsdale,Goalkeeper,26,25,12,0,0,0,0,0,0,0,0,England,190
Perr Schuurs,Centre-Back,24,25,10,1,0,0,2,0,0,0,1,Netherlands,191
Felix Nmecha,Central Midfield,23,25,29,2,0,2,4,0,0,16,8,Germany,190
Jadon Sancho,Left Winger,24,25,23,3,0,3,1,0,0,6,13,England,180
Lovro Majer,Attacking Midfield,26,25,37,6,0,6,6,0,0,11,21,Croatia,178
Hiroki Ito,Centre-Back,25,25,33,0,0,2,3,0,0,1,5,Japan,188
Kalvin Phillips,Defensive Midfield,28,25,22,1,0,0,4,1,0,16,2,England,179
Antonee Robinson,Left-Back,26,25,49,2,2,8,6,0,0,2,6,USA,183
Sean Longstaff,Central Midfield,26,25,46,8,0,2,8,0,0,6,7,Not Called,187
Denis Zakaria,Defensive Midfield,27,25,30,4,0,0,10,2,0,2,6,Switzerland,190
Weston McKennie,Central Midfield,25,25,45,0,0,12,7,0,0,6,16,USA,185
Gianluca Scamacca,Centre-Forward,25,25,43,19,0,8,5,0,0,16,24,Italy,195
Marcus Edwards,Right Winger,25,25,44,6,0,9,8,0,1,19,18,England U20,168
Hee-chan Hwang,Centre-Forward,28,25,38,15,0,4,8,0,0,6,17,South Korea,177
Lorenzo Pellegrini,Attacking Midfield,27,25,43,11,0,5,10,0,0,13,19,Italy,186
Marc Cucurella,Left-Back,25,25,27,1,1,2,10,0,0,1,6,Spain,173
Mario Hermoso,Centre-Back,28,25,45,2,1,2,15,0,0,3,5,Spain,184
Chris Führich,Left Winger,26,25,41,9,0,7,2,0,0,4,31,Germany,181
Kevin Danso,Centre-Back,25,25,42,1,0,0,9,0,0,1,3,Austria,190
Unai Simón,Goalkeeper,26,25,37,0,1,0,2,0,0,0,2,Spain,190
Aleix García,Central Midfield,26,25,40,3,0,6,4,0,1,3,2,Spain,173
Iñaki Williams,Right Winger,29,25,47,15,1,5,4,0,0,7,19,Ghana,186
José María Giménez,Centre-Back,29,25,33,0,0,1,8,0,0,9,7,Uruguay,185
Youri Tielemans,Central Midfield,27,25,49,5,0,7,6,0,0,17,19,Belgium,177
Alex Iwobi,Attacking Midfield,28,25,49,6,0,3,2,0,0,9,22,Nigeria,183
Álex Remiro,Goalkeeper,29,25,50,0,0,0,2,0,1,1,0,Spain,191
Paulo Dybala,Second Striker,30,25,39,16,0,10,3,0,0,6,27,Argentina,177
Ruben Loftus-Cheek,Central Midfield,28,25,40,10,0,2,6,0,0,4,22,England,191
Piotr Zieliński,Central Midfield,30,25,37,5,0,3,2,0,0,6,26,Poland,180
Aymeric Laporte,Centre-Back,30,25,42,4,0,1,5,0,2,1,3,Spain,191
Kurt Zouma,Centre-Back,29,25,39,3,0,0,4,0,0,1,3,France,190
Antoine Griezmann,Centre-Forward,33,25,50,25,0,9,7,0,0,3,19,France,176
Antonio Rüdiger,Centre-Back,31,25,55,3,1,3,9,0,0,4,2,Germany,190
David Alaba,Centre-Back,31,25,19,0,1,2,3,0,0,1,4,Austria,180
Maximilian Beier,Centre-Forward,21,24,39,17,0,3,1,0,0,5,24,Germany,185
Lewis Ferguson,Attacking Midfield,24,24,37,6,0,5,9,0,0,3,6,Scotland,181
Eljif Elmas,Attacking Midfield,24,24,35,2,0,3,3,0,0,26,7,North Macedonia,184
Evan Ndicka,Centre-Back,24,24,46,0,0,3,13,0,0,1,4,Ivory Coast,192
Jerdy Schouten,Defensive Midfield,27,24,41,4,0,0,5,0,0,2,9,Netherlands,185
Guido Rodríguez,Defensive Midfield,30,24,29,2,0,1,9,0,0,3,7,Argentina,185
Quilindschy Hartman,Left-Back,22,23,38,0,0,7,4,0,0,0,12,Netherlands,183
Yunus Musah,Central Midfield,21,23,48,0,0,2,11,0,0,19,13,USA,178
Tijjani Reijnders,Central Midfield,25,23,52,5,0,5,9,0,0,6,16,Netherlands,185
Nathan Tella,Right Winger,24,23,43,7,0,6,4,0,0,22,16,Nigeria,173
Carlos Baleba,Defensive Midfield,20,22,39,0,0,0,8,0,0,22,10,Cameroon,179
Lewis Miley,Central Midfield,18,22,33,2,0,4,2,0,0,8,14,England U20,189
Jorrel Hato,Centre-Back,18,22,52,1,1,3,7,0,0,1,2,Netherlands U21,182
Julio Enciso,Attacking Midfield,20,22,15,0,0,2,2,0,0,8,7,Paraguay,173
Jarell Quansah,Centre-Back,21,22,38,3,0,3,3,0,0,8,4,England,190
Dwight McNeil,Left Winger,24,22,41,3,0,7,3,0,0,3,12,England U21,183
Anthony Elanga,Left Winger,22,22,42,5,0,9,2,0,0,13,12,Sweden,178
Armando Broja,Centre-Forward,22,22,29,2,0,1,0,0,0,20,9,Albania,191
Kang-in Lee,Attacking Midfield,23,22,43,9,0,9,3,1,0,14,19,South Korea,173
Fábio Vieira,Attacking Midfield,23,22,17,2,0,3,0,0,1,13,2,Portugal U21,170
James Garner,Defensive Midfield,23,22,44,2,0,2,7,0,0,3,5,England U21,182
Taylor Harwood-Bellis,Centre-Back,22,22,50,2,0,4,5,0,0,1,5,England U21,188
Wendel,Central Midfield,26,22,34,4,0,10,6,0,0,3,15,Brazil U23,180
Sacha Boey,Right-Back,23,22,33,2,0,0,8,0,0,1,1,France U21,178
Kevin Schade,Right Winger,22,22,13,2,0,1,0,0,0,9,4,Germany,185
Marcos Senesi,Centre-Back,27,22,36,4,0,5,15,0,0,5,10,Argentina,185
Lucas Chevalier,Goalkeeper,22,22,45,0,0,0,1,0,0,0,1,France U23,189
Omar Marmoush,Centre-Forward,25,22,53,18,0,6,10,0,0,10,25,Egypt,183
Pedro,Centre-Forward,26,22,24,18,0,2,1,0,0,2,10,Brazil,185
Quinten Timber,Central Midfield,22,22,45,8,0,10,8,0,0,2,17,Netherlands,179
Angel Gomes,Attacking Midfield,23,22,45,2,0,10,7,0,0,8,18,England U21,168
Emile Smith Rowe,Attacking Midfield,23,22,19,0,0,2,0,0,0,15,4,England U21,182
Sergiño Dest,Left-Back,23,22,44,2,0,8,1,1,0,1,10,USA,173
Igor Zubeldia,Centre-Back,27,22,43,0,0,2,15,0,1,1,7,Spain U21,181
Deniz Undav,Centre-Forward,27,22,34,19,0,10,5,0,0,8,17,Germany,179
Konstantinos Tsimikas,Left-Back,28,22,28,0,0,5,0,0,0,8,7,Greece,179
Vangelis Pavlidis,Centre-Forward,25,22,47,33,0,6,5,0,0,1,7,Greece,186
Emiliano Buendía,Right Winger,27,22,0,0,0,0,0,0,0,0,0,Argentina,172
Philip Billing,Central Midfield,27,22,33,2,0,4,4,0,1,16,9,Denmark,193
Dominic Calvert-Lewin,Centre-Forward,27,22,38,8,0,3,3,0,1,6,27,England,189
Albert Gudmundsson,Second Striker,26,22,39,20,0,5,4,0,0,2,8,Iceland,177
Saïd Benrahma,Left Winger,28,22,40,3,0,6,3,0,1,12,21,Algeria,172
Orel Mangala,Central Midfield,26,22,36,3,0,0,6,0,0,6,17,Belgium,178
Sofyan Amrabat,Defensive Midfield,27,22,37,0,0,0,11,0,1,13,11,Morocco,185
Mattia Zaccagni,Left Winger,28,22,37,7,0,2,9,0,0,5,27,Italy,177
Vitaly Janelt,Defensive Midfield,26,22,42,1,0,3,8,0,0,2,21,Germany U21,184
Patrik Schick,Centre-Forward,28,22,35,13,0,3,2,0,0,15,17,Czechia,191
Niklas Süle,Centre-Back,28,22,35,1,0,0,2,0,0,12,3,Germany,195
Jordan Pickford,Goalkeeper,30,22,44,0,1,0,5,0,0,0,0,England,185
Désiré Doué,Attacking Midfield,18,20,51,7,0,8,5,1,0,19,21,France U23,181
Lucas Beraldo,Centre-Back,20,20,26,2,0,0,7,0,1,3,5,Brazil,182
Alex Scott,Central Midfield,20,20,29,2,0,6,6,0,0,13,12,England U21,178
Javi Guerra,Central Midfield,21,20,48,4,0,2,3,0,1,17,13,Spain U21,187
Dango Ouattara,Left Winger,22,20,40,2,0,2,4,0,0,19,9,Burkina Faso,177
Vanderson,Right-Back,22,20,23,3,0,1,4,1,0,0,8,Brazil,173
Rodrigo Muniz,Centre-Forward,23,20,33,10,0,1,2,0,0,10,15,Not Called,186
Milos Kerkez,Left-Back,20,20,35,0,1,2,7,0,1,8,12,Hungary,180
Jhon Durán,Centre-Forward,20,20,37,8,0,0,8,0,0,27,7,Colombia,185
El Bilal Touré,Centre-Forward,22,20,18,5,0,1,2,0,0,13,2,Mali,185
Wilfried Singo,Right-Back,23,20,39,1,1,3,8,0,1,7,3,Ivory Coast,190
Enzo Le Fée,Central Midfield,24,20,35,0,0,5,3,0,0,9,17,France U21,173
Ander Barrenetxea,Left Winger,22,20,39,5,0,2,2,0,0,11,28,Spain U21,175
Toti,Centre-Back,25,20,43,2,0,3,7,0,0,5,9,Portugal,187
Beto,Centre-Forward,26,20,39,6,0,3,2,0,0,27,10,Not Called,194
Carlos Augusto,Left Midfield,25,20,46,1,0,3,2,0,0,26,4,Brazil,184
Arnaud Kalimuendo,Centre-Forward,22,20,48,19,0,8,7,0,0,9,28,France U23,178
Lazar Samardžić,Central Midfield,22,20,37,6,0,3,3,0,0,7,16,Serbia,184
Miguel Gutiérrez,Left-Back,22,20,40,2,0,9,4,0,0,1,7,Spain U21,180
Amar Dedic,Right-Back,21,20,32,5,0,6,5,0,0,3,5,Bosnia,180
Aaron Wan-Bissaka,Right-Back,26,20,30,0,0,3,5,0,0,4,6,England U21,183
Renan Lodi,Left-Back,26,20,36,0,0,2,9,0,0,3,14,Brazil,173
Crysencio Summerville,Left Winger,22,20,49,21,0,10,8,0,0,4,32,Netherlands U21,174
Samuele Ricci,Defensive Midfield,22,20,33,1,0,4,6,1,0,4,10,Italy,181
Djordje Petrovic,Goalkeeper,24,20,32,0,0,0,4,0,0,1,0,Serbia,194
Maxence Lacroix,Centre-Back,24,20,31,4,0,1,4,1,2,1,1,France U20,190
Jørgen Strand Larsen,Centre-Forward,24,20,43,15,0,5,5,0,0,5,27,Norway,193
Caio Henrique,Left-Back,26,20,9,0,0,5,0,0,0,2,3,Brazil,178
Jean-Philippe Mateta,Centre-Forward,26,20,39,19,0,5,5,0,0,11,12,France U21,192
Konstantinos Mavropanos,Centre-Back,26,20,36,1,2,0,3,0,0,3,3,Greece,194
Ismaïla Sarr,Right Winger,26,20,42,6,0,8,5,0,0,14,17,Senegal,185
Robert Sánchez,Goalkeeper,26,20,21,0,0,0,1,0,0,0,1,Spain,197
Samuel Chukwueze,Right Winger,25,20,40,3,0,3,1,0,0,20,17,Nigeria,172
Dodô,Right-Back,25,20,18,0,0,0,2,0,0,3,6,Brazil U23,166
Marcus Tavernier,Left Midfield,25,20,35,4,0,4,3,0,0,9,18,England U20,178
Maxence Caqueret,Central Midfield,24,20,40,2,0,3,2,0,0,0,5,France U21,174
Nicolò Zaniolo,Attacking Midfield,24,20,42,3,0,0,13,0,0,27,14,Italy,190
Jonas Wind,Centre-Forward,25,20,38,12,0,8,4,0,0,5,15,Denmark,190
Yangel Herrera,Central Midfield,26,20,31,5,0,0,9,0,0,2,20,Venezuela,184
Carlos Soler,Central Midfield,27,20,28,2,0,4,1,0,0,14,9,Spain,180
Ferdi Kadıoğlu,Left-Back,24,20,52,4,0,5,3,0,0,5,5,Türkiye,174
Arthur Theate,Centre-Back,24,20,42,3,0,0,6,0,0,2,6,Belgium,185
Florentino,Defensive Midfield,24,20,45,0,0,0,10,0,0,19,15,Portugal U21,184
Noah Okafor,Left Winger,24,20,38,6,0,3,1,0,0,31,7,Switzerland,185
Kyle Walker-Peters,Right-Back,27,20,47,3,0,3,4,0,0,1,3,Not Called,182
Caoimhín Kelleher,Goalkeeper,25,20,28,0,0,0,2,0,0,0,1,Ireland,188
Rico Henry,Left-Back,26,20,5,0,0,1,1,0,0,0,1,England U20,170
Noa Lang,Left Winger,24,20,19,5,0,2,2,0,0,5,12,Netherlands,170
Sander Berge,Defensive Midfield,26,20,44,2,0,2,9,1,0,4,8,Norway,195
Christoph Baumgartner,Attacking Midfield,24,20,44,8,0,4,3,0,0,30,14,Austria,180
